name,position,school,era,tier,sport
Kareem Abdul-Jabbar,C,UCLA,1966-1969,S,CBB
Bill Walton,C,UCLA,1971-1974,A,CBB
Patrick Ewing,C,Georgetown,1981-1985,A,CBB
Magic Johnson,PG,Michigan State,1977-1979,A,CBB
Larry Bird,SF,Indiana State,1976-1979,A,CBB
Carmelo Anthony,SF,Syracuse,2002-2003,A,CBB
Chris Webber,PF,Michigan,1991-1993,A,CBB
Zion Williamson,PF,Duke,2018-2019,A,CBB
Grant Hill,SF,Duke,1990-1994,B,CBB
Christian Laettner,C,Duke,1988-1992,B,CBB
Bobby Hurley,PG,Duke,1989-1993,B,CBB
Danny Ferry,SF,Duke,1985-1989,B,CBB
Shane Battier,SF,Duke,1997-2001,B,CBB
Jay Williams,PG,Duke,1999-2002,B,CBB
JJ Redick,SG,Duke,2002-2006,B,CBB
Luol Deng,SF,Duke,2003-2004,B,CBB
Kyrie Irving,PG,Duke,2010-2011,B,CBB
Jabari Parker,SF,Duke,2013-2014,B,CBB
Jahlil Okafor,C,Duke,2014-2015,B,CBB
Justise Winslow,SF,Duke,2014-2015,B,CBB
Markelle Fultz,PG,Washington,2016-2017,B,CBB
Ben Simmons,PF,LSU,2015-2016,B,CBB
Karl-Anthony Towns,C,Kentucky,2014-2015,B,CBB
Anthony Davis,C,Kentucky,2011-2012,B,CBB
John Wall,PG,Kentucky,2009-2010,B,CBB
DeMarcus Cousins,C,Kentucky,2009-2010,B,CBB
Jimmer Fredette,PG,BYU,2007-2011,C,CBB
Tyler Hansbrough,PF,North Carolina,2005-2009,C,CBB
Frank Kaminsky,C,Wisconsin,2011-2015,C,CBB
Doug McDermott,SF,Creighton,2010-2014,C,CBB
Kawhi Leonard,SF,San Diego State,2009-2011,C,CBB
Kemba Walker,PG,Connecticut,2007-2011,C,CBB
Shabazz Napier,PG,Connecticut,2010-2014,C,CBB
Ryan Arcidiacono,PG,Villanova,2012-2016,C,CBB
Kris Jenkins,SG,Villanova,2013-2016,C,CBB
Josh Hart,SG,Villanova,2013-2017,C,CBB
Scottie Wilbekin,PG,Florida,2010-2014,C,CBB
Zach Novak,SF,Michigan,2008-2012,C,CBB
Stu Douglass,SG,Michigan,2008-2012,C,CBB
Matt Vogrich,SG,Michigan,2009-2013,C,CBB
Tim Hardaway Jr.,SG,Michigan,2010-2013,C,CBB
Trey Burke,PG,Michigan,2011-2013,C,CBB
Mitch McGary,C,Michigan,2012-2014,C,CBB
Glenn Robinson III,SF,Michigan,2012-2014,C,CBB
Nik Stauskas,SG,Michigan,2012-2014,C,CBB
Caris LeVert,SG,Michigan,2012-2016,C,CBB
Derrick Walton Jr.,PG,Michigan,2013-2017,C,CBB
Muhammad-Ali Abdur-Rahkman,SG,Michigan,2014-2018,C,CBB
Moritz Wagner,C,Michigan,2015-2018,C,CBB
Charles Matthews,SF,Michigan,2016-2019,C,CBB
Jeff Withey,C,Kansas,2009-2013,D,CBB
Zabian Dowdell,PG,Virginia Tech,2003-2007,D,CBB
Marcus Ginyard,SF,North Carolina,2006-2010,D,CBB
Justin Watts,SF,Duke,2011-2015,D,CBB
Amile Jefferson,PF,Duke,2012-2017,D,CBB
