name,position,school,era,tier,sport
Tim Tebow,QB,Florida,2006-2009,A,CFB
Herschel Walker,RB,Georgia,1980-1982,A,CFB
Bo Jackson,RB,Auburn,1982-1985,A,CFB
Barry Sanders,RB,Oklahoma State,1986-1988,A,CFB
Reggie Bush,RB,USC,2003-2005,A,CFB
Vince Young,QB,Texas,2003-2005,A,CFB
Charlie Ward,QB,Florida State,1990-1993,A,CFB
Deion Sanders,CB,Florida State,1985-1988,A,CFB
Marcus Allen,RB,USC,1978-1981,A,CFB
Tony Dorsett,RB,Pittsburgh,1973-1976,A,CFB
Earl Campbell,RB,Texas,1974-1977,A,CFB
Roger Staubach,QB,Navy,1962-1964,A,CFB
Archie Griffin,RB,Ohio State,1972-1975,A,CFB
Johnny Rodgers,WR,Nebraska,1970-1972,A,CFB
Doug Flutie,QB,Boston College,1981-1984,A,CFB
Tommie Frazier,QB,Nebraska,1992-1995,B,CFB
Desmond Howard,WR,Michigan,1988-1991,B,CFB
Danny Wuerffel,QB,Florida,1993-1996,B,CFB
Eric Crouch,QB,Nebraska,1998-2001,B,CFB
Jason White,QB,Oklahoma,2001-2004,B,CFB
Matt Leinart,QB,USC,2002-2005,B,CFB
Sam Bradford,QB,Oklahoma,2007-2009,B,CFB
Cam Newton,QB,Auburn,2010-2010,B,CFB
Robert Griffin III,QB,Baylor,2008-2011,B,CFB
Johnny Manziel,QB,Texas A&M,2011-2013,B,CFB
Marcus Mariota,QB,Oregon,2012-2014,B,CFB
Jameis Winston,QB,Florida State,2013-2014,B,CFB
Lamar Jackson,QB,Louisville,2014-2016,B,CFB
Baker Mayfield,QB,Oklahoma,2013-2017,B,CFB
Kyler Murray,QB,Oklahoma,2015-2018,B,CFB
Joe Burrow,QB,LSU,2018-2019,B,CFB
Caleb Williams,QB,USC,2022-2023,B,CFB
Bryce Young,QB,Alabama,2020-2022,B,CFB
CJ Stroud,QB,Ohio State,2020-2022,B,CFB
Denard Robinson,QB,Michigan,2009-2012,C,CFB
Trev Alberts,LB,Nebraska,1990-1993,C,CFB
Andre Ware,QB,Houston,1987-1989,C,CFB
Gino Torretta,QB,Miami,1990-1992,C,CFB
Troy Smith,QB,Ohio State,2003-2006,C,CFB
Paul Posluszny,LB,Penn State,2003-2006,C,CFB
Pat Fitzgerald,LB,Northwestern,1993-1996,C,CFB
Brian Urlacher,LB,New Mexico,1997-1999,C,CFB
Charles Woodson,CB,Michigan,1995-1997,C,CFB
Champ Bailey,CB,Georgia,1996-1998,C,CFB
Randy Moss,WR,Marshall,1996-1997,C,CFB
Larry Fitzgerald,WR,Pittsburgh,2002-2003,C,CFB
Michael Crabtree,WR,Texas Tech,2006-2008,C,CFB
Percy Harvin,WR,Florida,2006-2008,C,CFB
Santonio Holmes,WR,Ohio State,2002-2005,C,CFB
Ted Ginn Jr.,WR,Ohio State,2004-2006,C,CFB
Braylon Edwards,WR,Michigan,2001-2004,C,CFB
Mike Hart,RB,Michigan,2004-2007,C,CFB
Chris Perry,RB,Michigan,2000-2003,C,CFB
Anthony Thomas,RB,Michigan,1997-2000,C,CFB
Tyrone Wheatley,RB,Michigan,1991-1994,C,CFB
Tshimanga Biakabutuka,RB,Michigan,1993-1995,C,CFB
Mike Sainristil,CB,Michigan,2020-2023,D,CFB
Trevor Keegan,OL,Michigan,2020-2023,D,CFB
Junior Hemingway,WR,Michigan,2008-2011,D,CFB
Roy Roundtree,WR,Michigan,2009-2012,D,CFB
Ricardo Miller,WR,Michigan,2007-2010,D,CFB
Martavious Odoms,WR,Michigan,2009-2012,D,CFB
Jeremy Gallon,WR,Michigan,2010-2013,D,CFB
Drew Dileo,WR,Michigan,2010-2013,D,CFB
