name,position,team,era,tier,sport
Tiger Woods,G,PGA Tour,1996-present,S,GOLF
Jack Nicklaus,G,PGA Tour,1962-2005,A,GOLF
Arnold Palmer,G,PGA Tour,1954-2004,A,GOLF
Phil Mickelson,G,PGA Tour,1992-present,A,GOLF
Rory McIlroy,G,PGA Tour,2007-present,A,GOLF
Jordan Spieth,G,PGA Tour,2012-present,B,GOLF
Dustin Johnson,G,PGA Tour,2007-present,B,GOLF
Bubba Watson,G,PGA Tour,2002-present,B,GOLF
Justin Thomas,G,PGA Tour,2013-present,B,GOLF
Brooks Koepka,G,PGA Tour,2012-present,B,GOLF
Bryson DeChambeau,G,PGA Tour,2016-present,B,GOLF
Scottie Scheffler,G,PGA Tour,2019-present,B,GOLF
Jon Rahm,G,PGA Tour,2016-present,B,GOLF
Xander Schauffele,G,PGA Tour,2017-present,B,GOLF
Collin Morikawa,G,PGA Tour,2019-present,B,GOLF
Gary Player,G,PGA Tour,1953-2009,B,GOLF
Lee Trevino,G,PGA Tour,1966-2004,B,GOLF
Tom Watson,G,PGA Tour,1971-present,B,GOLF
Nick Faldo,G,PGA Tour,1976-2015,B,GOLF
Greg Norman,G,PGA Tour,1976-2008,B,GOLF
Seve Ballesteros,G,PGA Tour,1974-2007,B,GOLF
Ernie Els,G,PGA Tour,1989-present,B,GOLF
Vijay Singh,G,PGA Tour,1982-present,B,GOLF
Jim Furyk,G,PGA Tour,1992-present,C,GOLF
Fred Couples,G,PGA Tour,1980-present,C,GOLF
Davis Love III,G,PGA Tour,1985-present,C,GOLF
Rickie Fowler,G,PGA Tour,2009-present,C,GOLF
Ian Poulter,G,PGA Tour,1999-present,C,GOLF
Brandt Snedeker,G,PGA Tour,2004-present,C,GOLF
Keegan Bradley,G,PGA Tour,2010-present,C,GOLF
Bill Haas,G,PGA Tour,2004-present,C,GOLF
Webb Simpson,G,PGA Tour,2008-present,C,GOLF
Zach Johnson,G,PGA Tour,2000-present,C,GOLF
Stewart Cink,G,PGA Tour,1996-present,C,GOLF
Steve Stricker,G,PGA Tour,1990-present,C,GOLF
Kenny Perry,G,PGA Tour,1985-present,C,GOLF
Charley Hoffman,G,PGA Tour,2004-present,D,GOLF
Brian Gay,G,PGA Tour,1999-present,D,GOLF
Kevin Streelman,G,PGA Tour,2007-present,D,GOLF
Tag Ridings,G,PGA Tour,2000-present,D,GOLF
D.A. Points,G,PGA Tour,2006-present,D,GOLF
John Rollins,G,PGA Tour,2001-present,D,GOLF
Bob Estes,G,PGA Tour,1989-present,D,GOLF
Tommy Armour III,G,PGA Tour,1990-present,D,GOLF
