name,position,team,era,tier,sport
Wayne Gretzky,C,Edmonton Oilers,1979-1999,S,NHL
Mario Lemieux,C,Pittsburgh Penguins,1984-2006,S,NHL
Bobby Orr,D,Boston Bruins,1966-1979,A,NHL
Gordie Howe,RW,Detroit Red Wings,1946-1980,A,NHL
Sidney Crosby,C,Pittsburgh Penguins,2005-present,A,NHL
Connor McDavid,C,Edmonton Oilers,2015-present,A,NHL
Mark Messier,C,Edmonton Oilers,1979-2004,A,NHL
Patrick Roy,G,Montreal Canadiens,1984-2003,A,NHL
Brett Hull,RW,St. Louis Blues,1986-2004,A,NHL
Jaromir Jagr,RW,Pittsburgh Penguins,1990-2018,A,NHL
Steve Yzerman,C,Detroit Red Wings,1983-2006,A,NHL
Nicklas Lidstrom,D,Detroit Red Wings,1991-2012,A,NHL
Martin Brodeur,G,New Jersey Devils,1991-2015,A,NHL
Joe Sakic,C,Quebec Nordiques,1988-2009,A,NHL
Peter Forsberg,C,Quebec Nordiques,1994-2011,A,NHL
Dominik Hasek,G,Buffalo Sabres,1990-2008,A,NHL
Eric Lindros,C,Philadelphia Flyers,1992-2007,B,NHL
Mike Modano,C,Minnesota North Stars,1989-2011,B,NHL
Teemu Selanne,RW,Winnipeg Jets,1992-2014,B,NHL
Paul Kariya,LW,Anaheim Ducks,1994-2011,B,NHL
Brendan Shanahan,LW,New Jersey Devils,1987-2009,B,NHL
Luc Robitaille,LW,Los Angeles Kings,1984-2006,B,NHL
Pat LaFontaine,C,Buffalo Sabres,1983-1998,B,NHL
Mike Richter,G,New York Rangers,1989-2003,B,NHL
Brian Leetch,D,New York Rangers,1987-2006,B,NHL
Ray Bourque,D,Boston Bruins,1979-2001,B,NHL
Phil Housley,D,Buffalo Sabres,1982-2003,B,NHL
Al MacInnis,D,Calgary Flames,1981-2004,B,NHL
Chris Chelios,D,Montreal Canadiens,1983-2010,B,NHL
Scott Stevens,D,Washington Capitals,1982-2004,B,NHL
Mats Sundin,C,Toronto Maple Leafs,1989-2009,B,NHL
Saku Koivu,C,Montreal Canadiens,1995-2014,B,NHL
Vincent Lecavalier,C,Tampa Bay Lightning,1998-2016,B,NHL
Martin St. Louis,RW,Tampa Bay Lightning,1998-2015,B,NHL
Brad Richards,C,Tampa Bay Lightning,2000-2016,B,NHL
Scott Niedermayer,D,New Jersey Devils,1991-2010,B,NHL
Rob Blake,D,Los Angeles Kings,1990-2010,B,NHL
Matthew Tkachuk,LW,Calgary Flames,2016-present,B,NHL
Nathan MacKinnon,C,Colorado Avalanche,2013-present,B,NHL
Auston Matthews,C,Toronto Maple Leafs,2016-present,B,NHL
Jonathan Toews,C,Chicago Blackhawks,2007-2023,C,NHL
Patrick Kane,RW,Chicago Blackhawks,2007-present,C,NHL
Brent Seabrook,D,Chicago Blackhawks,2005-2021,C,NHL
Patrick Sharp,RW,Chicago Blackhawks,2005-2017,C,NHL
Duncan Keith,D,Chicago Blackhawks,2005-2022,C,NHL
Marian Hossa,RW,Chicago Blackhawks,1997-2017,C,NHL
Kris Versteeg,RW,Chicago Blackhawks,2007-2018,C,NHL
Dave Bolland,C,Chicago Blackhawks,2006-2015,C,NHL
Bryan Bickell,LW,Chicago Blackhawks,2007-2017,C,NHL
Niklas Hjalmarsson,D,Chicago Blackhawks,2007-2018,C,NHL
Corey Crawford,G,Chicago Blackhawks,2005-2020,C,NHL
Marc-Andre Fleury,G,Pittsburgh Penguins,2003-present,C,NHL
Evgeni Malkin,C,Pittsburgh Penguins,2006-present,C,NHL
Kris Letang,D,Pittsburgh Penguins,2005-present,C,NHL
Phil Kessel,RW,Pittsburgh Penguins,2006-present,C,NHL
Claude Giroux,C,Philadelphia Flyers,2007-present,C,NHL
Ryan Getzlaf,C,Anaheim Ducks,2005-2022,C,NHL
Corey Perry,RW,Anaheim Ducks,2005-present,C,NHL
Theoren Fleury,RW,Calgary Flames,1988-2003,C,NHL
Jeremy Roenick,C,Chicago Blackhawks,1988-2009,C,NHL
Keith Tkachuk,LW,Winnipeg Jets,1991-2010,C,NHL
Tony Amonte,RW,Chicago Blackhawks,1991-2007,C,NHL
Gary Suter,D,Chicago Blackhawks,1985-2002,C,NHL
Chris Chelios,D,Chicago Blackhawks,1983-2010,C,NHL
Garth Snow,G,New York Islanders,1993-2008,D,NHL
Brad Isbister,RW,New York Islanders,1997-2006,D,NHL
Miroslav Satan,RW,Buffalo Sabres,1995-2011,D,NHL
Rastislav Stana,G,Washington Capitals,2003-2008,D,NHL
Brent Gauvreau,G,Toronto Maple Leafs,2002-2008,D,NHL
Kyle Calder,LW,Chicago Blackhawks,2001-2010,D,NHL
Michael Holmqvist,C,Anaheim Ducks,2000-2006,D,NHL
Sergei Berezin,RW,Toronto Maple Leafs,1996-2004,D,NHL
Dmitri Khristich,RW,Los Angeles Kings,1990-2003,D,NHL
Oleg Tverdovsky,D,Anaheim Ducks,1994-2007,D,NHL
